id,puerto,territorio_historico,t,c,a,ultima_actualizacion,red,carretera,situacion,fuente
1627,BELATE TUNEL,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-121A,,Gobierno de Navarra
1628,BERBIKIZ (SAN COSME),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3621,,Dpto.Seguridad
1629,BERIAIN,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-121A,,Gobierno de Navarra
1630,BERNEDOKO MENDATEA/PUERTO DE BERNEDO,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2126,,Diputaciones
1631,BIDANIA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
1632,BIKOSGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3513,,Dpto.Seguridad
1633,BIZKAIKO BEHATOKIA/BALCÓN DE BIZKAIA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3231,,Dpto.Seguridad
1634,DESKARGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-636,,Dpto.Seguridad
1635,DIMA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2543,,Dpto.Seguridad
1636,EITZAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2632,,Dpto.Seguridad
1637,EL PERDÓN,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-111,,Gobierno de Navarra
1638,ELOSUA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3750,,Dpto.Seguridad
1639,ENEKURI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-604,,Dpto.Seguridad
1640,ERLAITZ,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3454,,Dpto.Seguridad
1641,ESCRITA/LA ESCRITA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-630,,Dpto.Seguridad
1642,ETZEGARATE (IRUN),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-1,,Dpto.Seguridad
1643,ETZEGARATE (MADRID),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-1,,Dpto.Seguridad
1644,GAINTXURIZKETA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,GI-636,,Dpto.Seguridad
1645,GANGUREN (EL VIVERO),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3732,,Dpto.Seguridad
1646,GARATE,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3632,,Diputaciones
1647,GASTEIZKO MENDATEA/PUERTO DE VITORIA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2124,,Diputaciones
1648,GATZAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3310,,Dpto.Seguridad
1649,GATZAGAKO MENDATEA (PUERTO DE SALINAS),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2622,,Diputaciones
1650,GORONTZUGARAI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2224,,Dpto.Seguridad
1651,HERRERA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-636,,Dpto.Seguridad
1652,HERRERAKO MENDATEA/PUERTO DE HERRERA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2124,,Diputaciones
1653,ILSOGANA (LAS MUÑECAS),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3601,,Dpto.Seguridad
1654,IRUZUBIETA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-633,,Dpto.Seguridad
1655,ITURBURU,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
1656,ITZIAR,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
1657,IZASKUN,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3421,,Dpto.Seguridad
1658,JAIZKIBEL,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3440,,Dpto.Seguridad
1659,KANPANZAR,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-636,,Dpto.Seguridad
1660,KARABIETA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2639,,Dpto.Seguridad
1661,KASTREXANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-636,,Dpto.Seguridad
1662,KURTZETA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2620,,Diputaciones
1663,LARREINETA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3755,,Dpto.Seguridad
1664,LEKOIZGANA (SANTA EUFEMIA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3448,,Dpto.Seguridad
1665,LIZARRAGA,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-120,,Gobierno de Navarra
1666,LIZARRUSTI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2120,,Dpto.Seguridad
1667,MANDUBIA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2635,,Dpto.Seguridad
1668,MEAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2633,,Dpto.Seguridad
1669,MERELLUDI (MILLOI),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2405,,Dpto.Seguridad
1670,MEZKIRITZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-135,,Gobierno de Navarra
1671,MIOTA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3321,,Dpto.Seguridad
1672,MORGA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3148,,Dpto.Seguridad
1673,MUNIKETA (MONTECALVO),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3332,,Dpto.Seguridad
1674,OLLOKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3720,,Dpto.Seguridad
1675,OPAKUA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2128,,Diputaciones
1676,OTSAURTE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2637,,Dpto.Seguridad
1677,PAGATZA (ELGETA),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2632,,Dpto.Seguridad
1678,PAGATZA (ELGETA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2632,,Dpto.Seguridad
1679,SAN PELAIO,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3101,,Dpto.Seguridad
1680,SARASOLA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3524,,Dpto.Seguridad
1681,SOLLUBE,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
1682,UBAL,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3622,,Dpto.Seguridad
1683,UDANA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2630,,Dpto.Seguridad
1684,UMARAN,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3631,,Dpto.Seguridad
1685,UNBE,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2704,,Dpto.Seguridad
1686,URDUÑAKO MENDATEA/PUERTO DE ORDUÑA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2625,,Diputaciones
1687,URKAREGI (SAN MIGEL),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2636,,Dpto.Seguridad
1688,URKIOLA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-623,,Dpto.Seguridad
1689,URRAKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3740,,Dpto.Seguridad
1690,URTO,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2130,,Dpto.Seguridad
1691,ZALDIARAN,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3102,,Diputaciones
1692,ZUDUGARAIGAIN (ALTO DE ORIO),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
1693,AGIÑA,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-4000,,Gobierno de Navarra
1694,AIURDIN,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3600,,Diputaciones
1695,ALMANDOZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-121,,Gobierno de Navarra
1696,ALTUBE,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-624,,Diputaciones
1697,ALTUBE AP-68 (BILBAO),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Prim.,AP-68,,Dpto.Seguridad
1698,ALTUBE AP-68 (ZARAGOZA),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Prim.,AP-68,,Dpto.Seguridad
1699,ANDATZARRATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2631,,Dpto.Seguridad
1700,ANDRAKA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2120,,Dpto.Seguridad
1701,ARANTZAZU,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3591,,Dpto.Seguridad
1702,AREITIO,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
1703,ARITXULEGI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3420,,Dpto.Seguridad
1704,ARLABAN,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-627,,Dpto.Seguridad
1705,ARRANGIZGANA (TRABAKUA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-633,,Dpto.Seguridad
1706,ARRATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3301,,Dpto.Seguridad
1707,ARTEBAKARRA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
1708,ARTIKUTZA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3631,,Dpto.Seguridad
1709,ARTXANDA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3741,,Dpto.Seguridad
1710,ASTORKIGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2224,,Dpto.Seguridad
1711,AUTZAGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3325,,Dpto.Seguridad
1712,AVELLANEDA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2701,,Dpto.Seguridad
1713,AZAZETA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-132,,Diputaciones
1714,AZKARATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
1715,AZPIROZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-130,,Gobierno de Navarra
1716,AZURKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3210,,Dpto.Seguridad
1717,BARAZAR,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-240,,Dpto.Seguridad
1718,BAREZI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
1719,BARRERILLA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2521,,Diputaciones
1720,BELATE PUERTO,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-1210,,Dpto.Seguridad
1721,BELATE TUNEL,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-121A,,Gobierno de Navarra
1722,BERBIKIZ (SAN COSME),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3621,,Dpto.Seguridad
1723,BERIAIN,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-121A,,Gobierno de Navarra
1724,BERNEDOKO MENDATEA/PUERTO DE BERNEDO,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2126,,Diputaciones
1725,BIDANIA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
1726,BIKOSGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3513,,Dpto.Seguridad
1727,BIZKAIKO BEHATOKIA/BALCÓN DE BIZKAIA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3231,,Dpto.Seguridad
1728,DESKARGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-636,,Dpto.Seguridad
1729,DIMA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2543,,Dpto.Seguridad
1730,EITZAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2632,,Dpto.Seguridad
1731,EL PERDÓN,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-111,,Gobierno de Navarra
1732,ELOSUA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3750,,Dpto.Seguridad
1733,ENEKURI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-604,,Dpto.Seguridad
1734,ERLAITZ,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3454,,Dpto.Seguridad
1735,ESCRITA/LA ESCRITA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-630,,Dpto.Seguridad
1736,ETZEGARATE (IRUN),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-1,,Dpto.Seguridad
1737,ETZEGARATE (MADRID),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-1,,Dpto.Seguridad
1738,GAINTXURIZKETA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,GI-636,,Dpto.Seguridad
1739,GANGUREN (EL VIVERO),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3732,,Dpto.Seguridad
1740,GARATE,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3632,,Diputaciones
1741,GASTEIZKO MENDATEA/PUERTO DE VITORIA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2124,,Diputaciones
1742,GATZAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3310,,Dpto.Seguridad
1743,GATZAGAKO MENDATEA (PUERTO DE SALINAS),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2622,,Diputaciones
1744,GORONTZUGARAI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2224,,Dpto.Seguridad
1745,HERRERA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-636,,Dpto.Seguridad
1746,HERRERAKO MENDATEA/PUERTO DE HERRERA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2124,,Diputaciones
1747,ILSOGANA (LAS MUÑECAS),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3601,,Dpto.Seguridad
1748,IRUZUBIETA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-633,,Dpto.Seguridad
1749,ITURBURU,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
1750,ITZIAR,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
1751,IZASKUN,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3421,,Dpto.Seguridad
1752,JAIZKIBEL,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3440,,Dpto.Seguridad
1753,KANPANZAR,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-636,,Dpto.Seguridad
1754,KARABIETA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2639,,Dpto.Seguridad
1755,KASTREXANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-636,,Dpto.Seguridad
1756,KURTZETA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2620,,Diputaciones
1757,LARREINETA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3755,,Dpto.Seguridad
1758,LEKOIZGANA (SANTA EUFEMIA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3448,,Dpto.Seguridad
1759,LIZARRAGA,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-120,,Gobierno de Navarra
1760,LIZARRUSTI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2120,,Dpto.Seguridad
1761,MANDUBIA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2635,,Dpto.Seguridad
1762,MEAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2633,,Dpto.Seguridad
1763,MERELLUDI (MILLOI),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2405,,Dpto.Seguridad
1764,MEZKIRITZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-135,,Gobierno de Navarra
1765,MIOTA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3321,,Dpto.Seguridad
1766,MORGA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3148,,Dpto.Seguridad
1767,MUNIKETA (MONTECALVO),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3332,,Dpto.Seguridad
1768,OLLOKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3720,,Dpto.Seguridad
1769,OPAKUA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2128,,Diputaciones
1770,OTSAURTE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2637,,Dpto.Seguridad
1771,PAGATZA (ELGETA),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2632,,Dpto.Seguridad
1772,PAGATZA (ELGETA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2632,,Dpto.Seguridad
1773,SAN PELAIO,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3101,,Dpto.Seguridad
1774,SARASOLA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3524,,Dpto.Seguridad
1775,SOLLUBE,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
1776,UBAL,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3622,,Dpto.Seguridad
1777,UDANA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2630,,Dpto.Seguridad
1778,UMARAN,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3631,,Dpto.Seguridad
1779,UNBE,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2704,,Dpto.Seguridad
1780,URDUÑAKO MENDATEA/PUERTO DE ORDUÑA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2625,,Diputaciones
1781,URKAREGI (SAN MIGEL),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2636,,Dpto.Seguridad
1782,URKIOLA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-623,,Dpto.Seguridad
1783,URRAKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3740,,Dpto.Seguridad
1784,URTO,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2130,,Dpto.Seguridad
1785,ZALDIARAN,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3102,,Diputaciones
1786,ZUDUGARAIGAIN (ALTO DE ORIO),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
1787,AGIÑA,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-4000,,Gobierno de Navarra
1788,AIURDIN,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3600,,Diputaciones
1789,ALMANDOZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-121,,Gobierno de Navarra
1790,ALTUBE,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-624,,Diputaciones
1791,ALTUBE AP-68 (BILBAO),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Prim.,AP-68,,Dpto.Seguridad
1792,ALTUBE AP-68 (ZARAGOZA),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Prim.,AP-68,,Dpto.Seguridad
1793,ANDATZARRATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2631,,Dpto.Seguridad
1794,ANDRAKA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2120,,Dpto.Seguridad
1795,ARANTZAZU,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3591,,Dpto.Seguridad
1796,AREITIO,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
1797,ARITXULEGI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3420,,Dpto.Seguridad
1798,ARLABAN,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-627,,Dpto.Seguridad
1799,ARRANGIZGANA (TRABAKUA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-633,,Dpto.Seguridad
1800,ARRATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3301,,Dpto.Seguridad
1801,ARTEBAKARRA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
1802,ARTIKUTZA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3631,,Dpto.Seguridad
1803,ARTXANDA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3741,,Dpto.Seguridad
1804,ASTORKIGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2224,,Dpto.Seguridad
1805,AUTZAGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3325,,Dpto.Seguridad
1806,AVELLANEDA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2701,,Dpto.Seguridad
1807,AZAZETA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-132,,Diputaciones
1808,AZKARATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
1809,AZPIROZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-130,,Gobierno de Navarra
1810,AZURKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3210,,Dpto.Seguridad
1811,BARAZAR,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-240,,Dpto.Seguridad
1812,BAREZI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
1813,BARRERILLA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2521,,Diputaciones
1814,BELATE PUERTO,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-1210,,Dpto.Seguridad
1815,BELATE TUNEL,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-121A,,Gobierno de Navarra
1816,BERBIKIZ (SAN COSME),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3621,,Dpto.Seguridad
1817,BERIAIN,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-121A,,Gobierno de Navarra
1818,BERNEDOKO MENDATEA/PUERTO DE BERNEDO,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2126,,Diputaciones
1819,BIDANIA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
1820,BIKOSGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3513,,Dpto.Seguridad
1821,BIZKAIKO BEHATOKIA/BALCÓN DE BIZKAIA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3231,,Dpto.Seguridad
1822,DESKARGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-636,,Dpto.Seguridad
1823,DIMA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2543,,Dpto.Seguridad
1824,EITZAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2632,,Dpto.Seguridad
1825,EL PERDÓN,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-111,,Gobierno de Navarra
1826,ELOSUA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3750,,Dpto.Seguridad
1827,ENEKURI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-604,,Dpto.Seguridad
1828,ERLAITZ,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3454,,Dpto.Seguridad
1829,ESCRITA/LA ESCRITA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-630,,Dpto.Seguridad
1830,ETZEGARATE (IRUN),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-1,,Dpto.Seguridad
1831,ETZEGARATE (MADRID),Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-1,,Dpto.Seguridad
1832,GAINTXURIZKETA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Prim.,GI-636,,Dpto.Seguridad
1833,GANGUREN (EL VIVERO),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3732,,Dpto.Seguridad
1834,GARATE,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3632,,Diputaciones
1835,GASTEIZKO MENDATEA/PUERTO DE VITORIA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2124,,Diputaciones
1836,GATZAGA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3310,,Dpto.Seguridad
